education,customer_id,age,marital,job,default,balance,housing,loan
tertiary,130159,30.0,single,admin.,no,0,yes,no
secondary,130161,27.0,single,technician,no,1601,no,no
unknown,130167,36.0,married,blue-collar,no,1023,yes,no
tertiary,130168,49.0,divorced,self-employed,no,0,no,no
tertiary,130170,28.0,single,entrepreneur,no,95,no,no
secondary,130178,30.0,married,admin.,yes,23,no,yes
primary,130180,55.0,married,technician,no,818,yes,no
SECONDARY,130187,33.0,married,unknown,no,335,no,no
primary,130192,28.0,single,services,no,198,no,no
tertiary,130198,33.0,single,management,no,1240,yes,no
primary,130206,56.0,single,unemployed,no,1110,no,no
primary,130210,45.0,married,blue-collar,no,412,yes,no
secondary,130219,29.0,single,technician,no,853,no,yes
secondary,130232,39.0,married,admin.,no,130,yes,yes
secondary,130233,37.0,divorced,technician,no,-24,yes,no
tertiary,130235,38.0,married,technician,no,1042,yes,no
secondary,130237,33.0,married,blue-collar,no,315,no,no
tertiary,130241,38.0,married,technician,no,4383,no,no
secondary,130242,30.0,single,admin.,no,313,yes,no
SECONDARY,130245,46.0,married,unemployed,no,594,no,no
tertiary,130246,32.0,married,management,no,1230,yes,no
tertiary,130254,51.0,divorced,admin.,no,178,yes,no
secondary,130255,29.0,married,technician,no,273,no,no
secondary,130262,32.0,married,unemployed,no,2400,yes,yes
secondary,130266,33.0,married,management,no,165,yes,no
tertiary,130277,69.0,married,management,no,840,no,no
secondary,130284,33.0,single,blue-collar,no,16649,yes,no
tertiary,130292,44.0,married,management,no,309,yes,no
tertiary,130293,37.0,married,management,no,57,no,no
secondary,130296,26.0,single,self-employed,no,1018,no,no
primary,130308,41.0,married,blue-collar,no,438,no,no
secondary,130310,44.0,married,blue-collar,no,794,yes,no
secondary,130313,39.0,married,technician,no,994,no,no
tertiary,130316,35.0,single,management,no,2707,no,no
secondary,130323,28.0,single,management,no,292,yes,yes
tertiary,130325,57.0,married,management,no,297,no,no
primary,130326,72.0,married,retired,no,9160,no,no
tertiary,130328,33.0,single,management,no,1410,yes,no
tertiary,130332,34.0,married,admin.,no,788,yes,no
secondary,130340,60.0,divorced,unemployed,no,4,no,no
primary,130343,29.0,married,services,no,549,yes,no
tertiary,130346,31.0,single,technician,no,1109,no,no
secondary,130352,48.0,married,blue-collar,no,194,yes,no
primary,130360,42.0,single,blue-collar,no,1628,yes,no
SECONDARY,130363,29.0,single,admin.,no,1261,no,no
tertiary,130367,44.0,married,management,no,673,no,no
secondary,130376,43.0,married,unemployed,no,3529,no,no
tertiary,130378,34.0,single,management,no,3,no,no
SECONDARY,130387,55.0,married,retired,no,529,yes,no
tertiary,130394,27.0,single,management,no,2648,no,no
secondary,130401,26.0,single,entrepreneur,no,101,yes,no
secondary,130416,27.0,married,technician,no,616,yes,no
tertiary,130425,26.0,single,entrepreneur,no,725,no,no
secondary,130430,49.0,divorced,entrepreneur,no,32,no,no
secondary,130443,27.0,single,self-employed,no,923,no,no
tertiary,130445,60.0,single,unemployed,no,361,no,no
primary,130452,34.0,married,unemployed,no,309,no,no
secondary,130454,34.0,married,admin.,no,155,no,no
secondary,130458,37.0,married,housemaid,no,7433,no,yes
secondary,130465,42.0,single,technician,no,541,yes,no
secondary,130466,56.0,single,blue-collar,no,1187,yes,no
secondary,130469,34.0,single,unemployed,no,1586,no,no
secondary,130470,46.0,married,admin.,no,939,no,no
unknown,130474,54.0,married,services,no,0,yes,no
secondary,130476,45.0,single,unemployed,no,33,no,no
unknown,130480,48.0,married,blue-collar,no,459,no,no
primary,130484,34.0,single,services,no,3648,yes,no
primary,130488,38.0,single,blue-collar,no,3132,no,no
secondary,130497,56.0,married,blue-collar,no,121,no,no
tertiary,130511,33.0,married,management,no,184,no,no
secondary,130513,33.0,single,services,no,3358,yes,no
tertiary,130515,53.0,married,management,no,1624,no,no
secondary,130519,31.0,married,admin.,no,0,yes,no
tertiary,130530,38.0,married,entrepreneur,no,228,yes,no
secondary,130541,54.0,married,technician,no,0,no,no
tertiary,130550,34.0,single,technician,no,992,yes,no
tertiary,130560,33.0,DIVORCED,management,no,1,yes,no
secondary,130565,37.0,married,blue-collar,no,660,yes,yes
secondary,130567,29.0,single,admin.,no,209,no,no
tertiary,130570,48.0,single,entrepreneur,no,318,yes,no
secondary,130571,36.0,single,student,no,624,no,no
primary,130582,40.0,married,unemployed,no,1908,yes,no
secondary,130592,57.0,married,unemployed,no,3754,no,no
tertiary,130594,60.0,married,management,no,2281,no,no
secondary,130602,25.0,single,student,no,2354,no,no
unknown,130608,45.0,married,unemployed,no,490,yes,no
tertiary,130609,28.0,single,technician,no,676,no,no
secondary,130623,51.0,married,unemployed,no,3640,no,no
tertiary,130631,34.0,married,entrepreneur,no,1076,yes,no
primary,130633,31.0,married,blue-collar,no,1738,no,no
tertiary,130634,34.0,single,management,no,1228,no,no
secondary,130635,39.0,single,blue-collar,no,357,no,yes
secondary,130638,33.0,single,admin.,no,894,no,no
tertiary,130639,58.0,married,management,no,3342,no,no
tertiary,130640,44.0,divorced,unemployed,no,0,no,no
tertiary,130649,32.0,single,management,no,0,no,no
unknown,130652,42.0,married,technician,no,906,yes,no
secondary,130662,38.0,divorced,admin.,no,19,yes,no
secondary,130667,26.0,married,services,no,116,no,no
secondary,130670,39.0,married,technician,no,211,no,no
secondary,130673,39.0,single,blue-collar,yes,0,yes,yes
tertiary,130675,30.0,single,management,no,640,no,no
secondary,130677,34.0,single,services,no,1758,yes,no
primary,130692,64.0,married,retired,no,440,no,no
secondary,130695,31.0,single,services,no,13,no,yes
primary,130701,61.0,married,retired,no,3738,no,no
primary,130703,37.0,single,services,no,0,no,yes
secondary,130706,31.0,single,self-employed,no,0,no,yes
tertiary,130714,46.0,married,management,no,1698,yes,no
tertiary,130718,31.0,single,management,no,12857,yes,no
secondary,130724,31.0,single,blue-collar,no,-538,no,yes
secondary,130728,66.0,married,technician,no,0,no,no
secondary,130735,30.0,single,housemaid,no,1924,no,no
secondary,130736,44.0,married,blue-collar,no,837,yes,no
tertiary,130738,41.0,married,management,no,326,no,no
tertiary,130745,37.0,single,technician,no,6101,no,no
secondary,130753,31.0,married,blue-collar,no,23,no,yes
tertiary,130755,33.0,married,management,no,158,no,no
secondary,130763,40.0,married,management,no,6695,yes,no
unknown,130767,35.0,single,blue-collar,no,871,yes,no
tertiary,130770,50.0,married,management,no,346,no,no
tertiary,130776,52.0,married,unemployed,no,1595,no,no
secondary,130780,60.0,divorced,admin.,no,-41,yes,yes
unknown,130781,39.0,married,technician,no,195,no,no
secondary,130782,37.0,divorced,unemployed,no,74,yes,no
secondary,130793,33.0,single,blue-collar,no,697,no,no
primary,130797,67.0,single,retired,no,491,no,no
tertiary,130798,30.0,single,student,no,0,no,no
primary,130799,45.0,single,housemaid,no,959,yes,no
tertiary,130819,56.0,married,management,no,616,no,no
secondary,130822,34.0,single,technician,no,347,yes,no
tertiary,130829,34.0,single,blue-collar,no,1168,no,no
secondary,130831,57.0,married,unemployed,no,3030,no,no
tertiary,130833,26.0,single,services,no,1140,yes,no
secondary,130834,45.0,married,admin.,no,285,no,no
tertiary,130836,27.0,single,services,no,691,no,yes
tertiary,130839,33.0,married,management,no,1412,no,no
secondary,130848,53.0,married,ADMINISTRATION,no,849,yes,no
secondary,130849,27.0,divorced,self-employed,no,165,yes,no
secondary,130853,47.0,divorced,services,no,691,no,no
tertiary,130856,59.0,divorced,retired,no,3444,no,no
secondary,130859,50.0,divorced,technician,no,-298,yes,no
tertiary,130869,44.0,divorced,self-employed,no,2938,no,no
secondary,130877,28.0,married,blue-collar,no,1137,no,no
secondary,130878,30.0,single,unemployed,no,2303,no,no
secondary,130888,32.0,married,blue-collar,no,1879,no,no
secondary,130901,31.0,single,admin.,no,690,no,no
secondary,130904,22.0,single,student,no,0,no,no
tertiary,130907,34.0,married,management,no,0,no,no
secondary,130916,37.0,married,unemployed,no,924,yes,no
primary,130919,38.0,single,blue-collar,no,2198,no,no
secondary,130930,29.0,single,admin.,no,291,no,no
primary,130931,49.0,married,blue-collar,no,474,yes,yes
tertiary,130933,46.0,married,self-employed,no,291,no,no
secondary,130936,33.0,married,admin.,no,347,yes,no
unknown,130939,46.0,married,admin.,no,1106,no,no
primary,130943,30.0,married,blue-collar,no,243,no,yes
primary,130945,34.0,single,blue-collar,no,1702,no,no
secondary,130957,32.0,divorced,admin.,no,298,yes,no
secondary,130958,28.0,single,self-employed,no,5679,yes,no
tertiary,130960,39.0,married,services,no,1493,no,no
secondary,130962,45.0,married,management,no,1134,no,yes
secondary,130966,28.0,single,technician,no,313,no,no
tertiary,130968,43.0,married,management,no,938,yes,no
secondary,130973,37.0,married,blue-collar,no,408,yes,no
secondary,130975,52.0,married,admin.,no,-462,yes,no
primary,130976,45.0,single,unemployed,no,2249,yes,no
unknown,130984,57.0,married,unemployed,no,288,no,no
tertiary,130987,31.0,single,self-employed,no,1815,no,no
tertiary,130991,30.0,single,management,no,3773,yes,no
secondary,131005,45.0,married,blue-collar,no,52,yes,no
tertiary,131006,33.0,single,blue-collar,no,700,no,no
primary,131008,66.0,married,retired,no,206,no,no
secondary,131010,26.0,single,admin.,no,255,no,no
secondary,131011,30.0,single,admin.,no,270,no,no
tertiary,131018,28.0,single,technician,no,4987,no,no
SECONDARY,131019,28.0,single,admin.,no,659,no,no
secondary,131020,26.0,single,student,no,477,no,no
secondary,131029,29.0,married,management,no,160,no,no
secondary,131043,35.0,married,blue-collar,no,-100,yes,no
tertiary,131060,29.0,single,technician,no,673,yes,no
tertiary,131075,30.0,single,management,no,82,no,no
secondary,131077,45.0,single,unemployed,no,17609,no,no
secondary,131093,49.0,married,services,no,320,no,no
secondary,131102,29.0,single,technician,no,362,no,no
secondary,131107,34.0,married,admin.,no,0,yes,no
secondary,131110,47.0,married,blue-collar,no,292,no,no
tertiary,131111,42.0,married,technician,no,757,no,no
tertiary,131115,51.0,married,technician,no,1347,yes,yes
tertiary,131116,43.0,married,management,no,40,no,no
tertiary,131117,61.0,married,retired,no,1257,no,no
secondary,131118,35.0,single,technician,no,1693,yes,no
secondary,131121,40.0,married,blue-collar,no,5060,no,no
tertiary,131123,27.0,married,admin.,no,73,no,no
tertiary,131124,31.0,divorced,management,no,373,no,no
tertiary,131126,36.0,married,self-employed,no,2012,no,no
tertiary,131128,32.0,single,student,no,1138,no,no
tertiary,131129,30.0,single,unemployed,no,302,no,no
tertiary,131131,31.0,married,management,no,3,yes,yes
secondary,131132,33.0,married,management,no,369,no,no
primary,131133,69.0,married,retired,no,2346,no,no
secondary,131134,39.0,married,management,no,363,yes,yes
tertiary,131136,40.0,divorced,technician,no,4736,yes,no
tertiary,131137,28.0,married,admin.,no,174,yes,yes
tertiary,131140,58.0,divorced,management,no,26831,no,no
secondary,131144,30.0,single,services,no,1599,no,no
secondary,131145,41.0,married,technician,no,1066,no,no
tertiary,131147,31.0,married,management,no,2603,yes,no
secondary,131148,22.0,single,student,no,381,no,no
secondary,131150,22.0,single,ADMINISTRATION,no,33,no,no
SECONDARY,131151,37.0,married,admin.,no,1314,yes,no
tertiary,131154,33.0,married,management,no,1778,no,no
tertiary,131155,48.0,single,management,no,5689,no,no
primary,131156,85.0,married,retired,no,12114,no,no
tertiary,131158,72.0,married,retired,no,0,no,no
secondary,131159,46.0,divorced,admin.,no,2232,no,no
tertiary,131161,26.0,single,technician,no,11862,no,no
tertiary,131162,37.0,married,technician,no,127,yes,no
tertiary,131165,53.0,divorced,management,no,2152,no,no
tertiary,131166,33.0,single,management,no,3552,no,no
secondary,131170,90.0,divorced,retired,no,1,no,no
tertiary,131171,27.0,single,self-employed,no,970,yes,no
secondary,131172,54.0,divorced,admin.,no,1872,no,no
tertiary,131173,67.0,married,retired,no,1341,no,no
tertiary,131174,27.0,single,student,no,3733,yes,no
unknown,131176,42.0,divorced,management,no,7702,no,no
primary,131178,71.0,married,retired,no,4657,no,no
secondary,131179,35.0,single,student,no,188,yes,no
secondary,131181,44.0,divorced,admin.,no,397,yes,yes
tertiary,131183,47.0,married,entrepreneur,no,0,no,no
tertiary,131184,44.0,married,admin.,no,348,yes,yes
secondary,131185,37.0,single,technician,no,2442,no,no
secondary,131186,37.0,married,services,no,1543,yes,no
tertiary,131187,28.0,single,self-employed,no,805,no,no
secondary,131191,21.0,single,blue-collar,no,2265,no,no
tertiary,131194,25.0,single,management,no,2506,no,no
secondary,131195,63.0,married,retired,no,1612,no,no
tertiary,131197,32.0,single,management,no,312,no,no
SECONDARY,131198,51.0,married,technician,no,196,yes,yes
tertiary,131200,73.0,married,retired,no,459,no,no
secondary,131201,26.0,single,student,no,620,no,no
secondary,131202,74.0,married,retired,no,1714,no,no
tertiary,131203,62.0,divorced,management,no,5943,no,no
tertiary,131204,65.0,married,retired,no,2416,no,no
secondary,131206,47.0,married,technician,no,335,no,no
unknown,131207,62.0,married,retired,no,800,no,no
secondary,131208,38.0,married,admin.,no,755,yes,no
secondary,131209,71.0,married,retired,no,2850,no,no
secondary,131210,29.0,married,services,no,1135,yes,no
primary,131212,61.0,married,retired,no,197,no,no
primary,131215,64.0,divorced,retired,no,315,no,no
primary,131216,57.0,divorced,retired,no,720,no,no
primary,131217,75.0,married,retired,no,358,no,no
tertiary,131219,37.0,married,management,no,5355,no,no
secondary,131220,68.0,married,retired,no,445,no,no
tertiary,131221,29.0,single,management,no,5359,no,no
primary,131223,51.0,married,entrepreneur,no,1443,no,no
secondary,131224,41.0,divorced,technician,no,4047,yes,no
secondary,131225,24.0,single,student,no,23878,no,no
secondary,131227,24.0,single,blue-collar,no,167,no,yes
tertiary,131228,39.0,single,management,no,0,yes,no
secondary,131230,59.0,married,unemployed,no,1047,no,no
primary,131231,85.0,DIVORCED,retired,no,7613,no,no
tertiary,131232,31.0,married,management,no,131,no,no
tertiary,131233,32.0,single,technician,no,2340,no,no
tertiary,131234,29.0,single,management,no,15459,no,no
secondary,131235,51.0,married,technician,no,117,no,no
secondary,131236,39.0,married,technician,no,2266,no,no
secondary,131237,28.0,single,student,no,0,no,no
secondary,131238,39.0,married,technician,no,4101,yes,no
primary,131243,44.0,married,management,no,558,no,no
tertiary,131244,25.0,married,student,no,4923,yes,yes
secondary,131245,26.0,single,admin.,no,2509,no,no
tertiary,131247,28.0,single,management,no,1287,yes,no
tertiary,131248,48.0,married,management,no,1808,yes,no
secondary,131249,37.0,single,technician,no,1130,no,no
tertiary,131250,71.0,married,retired,no,653,no,no
unknown,131251,62.0,married,housemaid,no,2021,no,no
tertiary,131254,28.0,single,management,no,3611,no,no
tertiary,131258,26.0,single,admin.,no,313,no,yes
tertiary,131259,43.0,single,unemployed,no,983,yes,no
secondary,131264,27.0,single,unknown,no,1187,no,no
tertiary,131274,30.0,single,management,no,5561,yes,no
unknown,131279,50.0,married,management,no,8345,no,no
secondary,131281,25.0,single,technician,no,1231,yes,no
tertiary,131282,25.0,single,admin.,no,3730,yes,no
tertiary,131283,30.0,single,management,no,617,no,no
tertiary,131284,73.0,married,retired,no,1641,yes,no
tertiary,131285,31.0,single,management,no,924,no,no
tertiary,131288,28.0,single,technician,no,2489,yes,no
secondary,131289,66.0,married,retired,no,995,no,no
secondary,131291,41.0,married,management,no,280,yes,no
secondary,131292,46.0,married,technician,no,3434,no,yes
tertiary,131293,42.0,married,unemployed,no,576,no,no
secondary,131294,28.0,single,technician,no,1363,no,no
tertiary,131297,33.0,single,technician,no,1636,yes,no
tertiary,131298,30.0,single,unknown,no,6836,no,no
secondary,131299,38.0,married,technician,no,5115,yes,no
primary,131300,39.0,single,blue-collar,no,581,yes,no
secondary,131301,33.0,single,admin.,no,607,no,no
secondary,131302,42.0,married,services,no,1376,yes,no
tertiary,131304,31.0,married,management,no,2667,yes,no
secondary,131307,35.0,married,services,no,52,yes,no
secondary,131309,55.0,married,technician,no,0,yes,yes
primary,131311,43.0,married,blue-collar,no,3917,no,no
tertiary,131315,37.0,married,technician,no,549,no,no
tertiary,131319,29.0,single,management,no,92,no,no
tertiary,131320,49.0,married,management,no,2881,no,no
tertiary,131323,61.0,married,retired,no,32685,no,no
secondary,131327,44.0,single,technician,no,250,no,no
SECONDARY,131330,54.0,married,admin.,no,602,no,no
tertiary,131331,28.0,single,management,no,730,yes,no
SECONDARY,131333,30.0,single,admin.,no,523,no,yes
secondary,131335,47.0,married,technician,no,293,no,no
secondary,131336,34.0,single,blue-collar,no,215,no,no
tertiary,131338,37.0,single,unknown,no,0,no,no
tertiary,131339,25.0,single,self-employed,no,42,yes,no
secondary,131340,29.0,single,technician,no,316,yes,no
secondary,131341,62.0,married,management,no,4562,yes,no
secondary,131342,58.0,divorced,management,no,10180,no,no
tertiary,131343,46.0,married,management,no,0,no,no
tertiary,131344,56.0,married,retired,no,281,no,no
tertiary,131345,49.0,married,technician,no,523,yes,no
secondary,131347,28.0,single,technician,no,126,no,no
tertiary,131351,33.0,married,management,no,250,no,no
tertiary,131352,24.0,single,management,no,1030,no,no
tertiary,131354,27.0,single,student,no,0,no,no
secondary,131355,60.0,married,retired,no,404,no,no
tertiary,131358,32.0,single,management,no,506,no,no
primary,131362,83.0,divorced,retired,no,1097,no,no
secondary,131365,53.0,married,management,no,2693,no,no
secondary,131366,45.0,divorced,admin.,no,2353,yes,no
tertiary,131370,35.0,married,self-employed,no,3698,yes,no
secondary,131371,28.0,single,technician,no,5763,no,yes
tertiary,131372,31.0,divorced,management,no,883,yes,no
tertiary,131376,30.0,single,student,no,2539,no,no
secondary,131377,29.0,married,technician,no,2326,no,no
tertiary,131378,36.0,single,management,no,811,no,no
tertiary,131379,57.0,married,management,no,256,no,no
secondary,131381,21.0,single,blue-collar,no,682,no,no
tertiary,131382,44.0,single,management,no,483,no,no
tertiary,131383,23.0,single,management,no,1506,no,no
tertiary,131384,34.0,single,management,no,575,no,no
tertiary,131385,26.0,single,management,no,1274,yes,no
secondary,131386,79.0,married,retired,no,8304,no,no
secondary,131387,32.0,married,self-employed,no,409,no,no
tertiary,131391,37.0,single,unemployed,no,1316,yes,no
tertiary,131393,35.0,single,management,no,671,yes,no
tertiary,131394,47.0,married,management,no,2351,no,no
tertiary,131395,61.0,married,management,no,997,no,no
tertiary,131396,30.0,single,management,no,4808,no,no
secondary,131399,70.0,married,retired,no,6422,no,no
tertiary,131400,28.0,single,technician,no,3623,no,no
tertiary,131402,52.0,married,management,no,31,no,no
secondary,131403,27.0,single,admin.,no,464,no,no
secondary,131404,28.0,single,management,no,171,no,no
secondary,131406,43.0,married,technician,no,1358,no,no
secondary,131408,30.0,single,student,no,685,no,no
secondary,131409,29.0,single,admin.,no,345,no,no
tertiary,131410,57.0,married,management,no,2681,no,no
tertiary,131411,24.0,single,admin.,no,-61,no,no
tertiary,131412,25.0,married,management,no,4461,no,no
tertiary,131416,32.0,married,management,no,8929,no,no
primary,131417,65.0,married,housemaid,no,715,no,no
secondary,131418,34.0,divorced,admin.,no,1085,no,no
tertiary,131420,44.0,married,management,no,1058,no,no
secondary,131421,50.0,married,housemaid,no,388,no,no
tertiary,131422,32.0,single,entrepreneur,no,-34,yes,no
tertiary,131423,64.0,married,technician,no,1319,no,no
tertiary,131426,44.0,married,management,no,423,no,no
tertiary,131427,33.0,single,technician,no,258,no,no
tertiary,131428,49.0,divorced,technician,no,1807,yes,no
secondary,131429,53.0,divorced,services,no,0,no,no
tertiary,131430,31.0,divorced,management,no,71,no,no
tertiary,131431,61.0,married,admin.,no,1332,no,no
tertiary,131432,37.0,single,management,no,33,yes,no
unknown,131433,64.0,married,retired,no,2923,no,no
tertiary,131434,58.0,married,self-employed,no,5810,no,no
tertiary,131435,30.0,single,management,no,3473,no,no
secondary,131438,47.0,married,blue-collar,no,238,yes,yes
secondary,131440,60.0,married,technician,no,1740,no,no
tertiary,131449,36.0,divorced,entrepreneur,no,3407,no,no
secondary,131452,37.0,single,services,no,1045,no,no
SECONDARY,131453,43.0,married,admin.,no,132,no,no
secondary,131455,46.0,married,admin.,no,974,no,no
tertiary,131456,37.0,single,admin.,no,1000,yes,no
tertiary,131457,31.0,single,management,no,115,no,no
secondary,131459,31.0,married,technician,no,180,no,no
tertiary,131460,30.0,single,management,no,201,yes,no
tertiary,131465,30.0,married,management,no,8089,yes,no
tertiary,131467,32.0,single,admin.,no,8866,no,no
secondary,131468,35.0,married,admin.,no,2,yes,no
secondary,131469,59.0,married,technician,no,259,no,no
tertiary,131470,33.0,single,housemaid,no,1107,yes,no
secondary,131471,41.0,single,services,no,-675,yes,yes
secondary,131472,59.0,married,admin.,no,3735,no,no
tertiary,131473,37.0,single,management,no,1730,no,no
secondary,131475,31.0,married,services,no,447,no,no
secondary,131476,28.0,single,student,no,5916,no,no
tertiary,131478,32.0,married,management,no,376,yes,no
tertiary,131479,26.0,single,management,no,2786,no,no
secondary,131481,53.0,married,technician,no,10185,no,no
tertiary,131484,73.0,married,retired,no,448,no,no
secondary,131487,34.0,married,unemployed,no,978,no,no
secondary,131489,41.0,married,admin.,no,158,yes,no
tertiary,131493,46.0,divorced,management,no,-130,yes,no
primary,131494,76.0,divorced,retired,no,3049,no,no
tertiary,131495,46.0,married,management,no,11385,no,no
primary,131496,83.0,divorced,retired,no,46,no,no
tertiary,131497,40.0,married,management,no,0,yes,no
tertiary,131498,26.0,single,admin.,no,689,no,no
secondary,131499,23.0,single,student,no,4126,no,no
tertiary,131500,34.0,single,management,no,212,no,no
secondary,131501,24.0,single,student,no,1250,no,no
tertiary,131502,41.0,divorced,management,no,25,yes,yes
secondary,131503,39.0,married,management,no,2981,no,no
secondary,131508,28.0,single,admin.,no,1277,no,no
primary,131512,57.0,married,housemaid,no,571,no,no
SECONDARY,131514,34.0,married,technician,no,390,yes,no
secondary,131515,77.0,married,retired,no,9601,no,no
secondary,131516,36.0,married,management,no,565,no,no
tertiary,131517,58.0,married,management,no,1384,yes,no
tertiary,131519,32.0,single,self-employed,no,658,yes,no
tertiary,131520,38.0,married,admin.,no,1988,no,no
secondary,131522,46.0,married,admin.,no,70,yes,no
secondary,131526,27.0,single,student,no,213,no,no
unknown,131529,69.0,married,retired,no,647,no,no
secondary,131530,46.0,married,admin.,no,-522,yes,no
tertiary,131532,59.0,married,retired,no,9676,no,no
primary,131533,19.0,single,student,no,134,no,no
tertiary,131534,25.0,single,management,no,316,no,no
tertiary,131535,23.0,single,management,no,2143,no,no
tertiary,131539,49.0,married,admin.,no,255,yes,no
tertiary,131542,47.0,married,management,no,3663,no,no
tertiary,131543,23.0,single,management,no,1004,yes,no
secondary,131544,22.0,single,admin.,no,114,no,no
tertiary,131547,27.0,single,management,no,831,no,no
primary,131548,73.0,divorced,retired,no,2308,no,no
tertiary,131553,41.0,married,management,no,1468,yes,no
tertiary,131554,30.0,single,admin.,no,311,no,no
secondary,131561,26.0,single,admin.,no,274,no,no
secondary,131572,47.0,married,blue-collar,no,398,yes,yes
tertiary,131573,38.0,single,blue-collar,no,172,yes,no
secondary,131575,37.0,married,management,no,1180,yes,yes
tertiary,131576,32.0,single,services,no,1743,yes,no
tertiary,131577,46.0,divorced,management,no,507,yes,no
tertiary,131578,27.0,single,technician,no,393,no,no
tertiary,131583,63.0,married,self-employed,no,-39,no,no
secondary,131588,45.0,divorced,services,no,396,yes,yes
unknown,131593,19.0,single,student,no,779,no,no
secondary,131596,34.0,single,blue-collar,no,13408,no,no
secondary,131598,34.0,married,admin.,no,1474,no,no
secondary,131605,37.0,married,blue-collar,no,0,yes,no
secondary,131607,32.0,single,admin.,no,471,no,yes
tertiary,131609,33.0,single,management,no,3161,yes,no
tertiary,131612,45.0,single,admin.,no,1683,yes,no
secondary,131621,46.0,married,self-employed,no,-30,yes,yes
secondary,131626,58.0,married,technician,no,1,no,no
secondary,131627,47.0,married,blue-collar,no,1612,yes,no
unknown,131628,74.0,married,housemaid,no,161,no,no
SECONDARY,131629,48.0,divorced,admin.,no,4099,no,no
tertiary,131631,39.0,divorced,technician,no,113,yes,yes
unknown,131637,58.0,married,unknown,no,68,no,no
primary,131641,40.0,married,management,no,738,yes,yes
primary,131652,54.0,married,retired,no,136,yes,no
tertiary,131657,50.0,married,management,no,414,yes,no
secondary,131673,26.0,single,blue-collar,no,5005,no,yes
secondary,131676,39.0,married,blue-collar,no,1756,yes,no
secondary,131680,38.0,married,technician,no,751,yes,no
tertiary,131685,33.0,married,admin.,no,1636,yes,yes
secondary,131689,55.0,divorced,blue-collar,no,1613,yes,no
secondary,131705,41.0,married,self-employed,no,3123,yes,no
secondary,131708,31.0,single,admin.,no,779,yes,yes
primary,131710,37.0,married,management,no,3953,yes,no
unknown,131717,54.0,divorced,entrepreneur,no,4736,yes,no
secondary,131718,34.0,single,technician,no,2729,yes,no
secondary,131724,35.0,married,blue-collar,no,270,yes,yes
tertiary,131727,33.0,single,technician,no,127,yes,no
tertiary,131731,42.0,single,management,no,11891,no,no
primary,131740,50.0,married,blue-collar,no,4979,no,no
tertiary,131745,,single,management,no,2651,no,no
secondary,131746,35.0,married,technician,no,0,yes,no
secondary,131751,40.0,married,management,no,754,no,yes
secondary,131757,36.0,married,self-employed,no,1184,yes,no
tertiary,131759,32.0,single,technician,no,948,yes,no
secondary,131761,37.0,married,admin.,no,1207,yes,no
secondary,131762,44.0,single,blue-collar,no,712,yes,yes
tertiary,131763,37.0,single,technician,no,3943,no,no
secondary,131766,41.0,married,blue-collar,no,0,yes,no
tertiary,131773,30.0,single,blue-collar,no,297,no,no
secondary,131778,26.0,single,self-employed,no,3676,no,no
secondary,131803,47.0,married,unemployed,no,817,no,no
tertiary,131805,33.0,married,management,no,0,yes,no
primary,131807,47.0,married,unemployed,no,2290,yes,no
tertiary,131813,46.0,single,blue-collar,no,283,no,no
secondary,131814,50.0,single,services,no,1716,yes,no
primary,131815,31.0,married,blue-collar,no,1601,no,no
tertiary,131816,37.0,divorced,technician,no,1174,yes,no
secondary,131817,38.0,single,services,no,167,yes,no
tertiary,131819,27.0,single,admin.,no,2068,no,no
secondary,131822,48.0,married,services,no,665,yes,no
secondary,131829,43.0,single,technician,no,4990,yes,no
secondary,131831,28.0,single,technician,no,922,yes,no
SECONDARY,131832,24.0,single,admin.,no,5,no,no
tertiary,131833,49.0,divorced,entrepreneur,no,1342,yes,yes
secondary,131839,25.0,single,admin.,no,82,no,yes
tertiary,131844,41.0,married,management,no,5,yes,no
secondary,131847,51.0,married,blue-collar,no,4787,yes,no
primary,131850,35.0,married,blue-collar,no,-210,yes,yes
secondary,131852,51.0,married,blue-collar,no,984,yes,no
secondary,131859,56.0,married,technician,no,2847,no,no
secondary,131865,36.0,single,blue-collar,no,1822,yes,no
secondary,131866,35.0,single,technician,no,16,yes,no
secondary,131872,65.0,married,retired,no,20806,no,no
secondary,131878,37.0,single,admin.,no,810,yes,no
secondary,131880,35.0,married,blue-collar,no,1993,yes,no
secondary,131881,54.0,married,unemployed,no,377,no,no
secondary,131884,39.0,married,admin.,no,217,yes,no
secondary,131885,48.0,married,management,no,4415,yes,no
secondary,131890,32.0,married,technician,no,303,yes,no
secondary,131891,60.0,DIVORCED,admin.,no,12039,no,no
secondary,131895,28.0,single,student,no,11555,no,no
secondary,131900,67.0,married,retired,no,1443,no,no
secondary,131901,34.0,married,technician,no,2726,yes,no
secondary,131902,35.0,married,blue-collar,no,21,yes,no
tertiary,131903,27.0,single,technician,no,4661,no,no
primary,131906,46.0,married,blue-collar,no,1204,yes,no
tertiary,131907,57.0,married,management,no,1287,yes,no
tertiary,131908,32.0,single,management,no,1781,no,no
secondary,131912,26.0,married,admin.,no,3415,no,no
tertiary,131920,33.0,single,management,no,318,yes,no
tertiary,131928,35.0,married,management,no,1725,yes,yes
primary,131932,21.0,single,student,no,423,no,no
secondary,131935,30.0,single,technician,no,2544,no,no
secondary,131937,39.0,married,services,no,702,yes,no
secondary,131938,27.0,single,student,no,2614,no,no
